ID;Project Name;Camera Trap Name;Latitude;Longitude;Sampling Event;Photo Type;Photo Date;Photo time;Raw Name;Class;Order;Family;Genus;Species;Genus Species;Number of Animals;Person Identifying the Photo;Camera Serial Number;Camera Start Date;Camera End Date;Person setting up the Camera;Person picking up the Camera;Camera Manufacturer;Camera Model;Sequence Info;Moon Phase;Temperature;Flash;Organization Name
1;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:11:19;03030001.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
2;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:11:20;03030002.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
3;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:11:25;03030003.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
4;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:11:32;03030004.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
5;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:11:34;03030005.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
6;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:11:38;03030006.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
7;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:11:39;03030007.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
8;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:12:54;03030008.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
9;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:13:16;03030009.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
10;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:13:59;03030010.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
11;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:14:02;03030011.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
12;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:14:02;03030012.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
13;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:14:04;03030013.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
14;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;17:06:24;03030014.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
15;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Unidentifiable;2019-03-10;09:49:21;03100015.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
16;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Blank;2019-03-10;16:00:15;03100016.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
17;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-03-24;05:24:17;03240017.JPG;MAMMALIA;CARNIVORA;FELIDAE;Puma;concolor;Puma concolor;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
18;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-03-24;18:16:57;03240018.JPG;MAMMALIA;CARNIVORA;FELIDAE;Puma;concolor;Puma concolor;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
19;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-04-09;23:50:22;04090019.JPG;MAMMALIA;CARNIVORA;PROCYONIDAE;Nasuella;olivacea;Nasuella olivacea;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
20;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-04-26;19:30:49;04260020.JPG;MAMMALIA;DIDELPHIMORPHIA;DIDELPHIDAE;Didelphis;unknown;Didelphis unknown;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
21;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Unknown;2019-04-30;23:49:55;04300021.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
22;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-01;01:21:53;05010022.JPG;MAMMALIA;DIDELPHIMORPHIA;DIDELPHIDAE;Didelphis;unknown;Didelphis unknown;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
23;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-07;02:49:40;05070023.JPG;MAMMALIA;DIDELPHIMORPHIA;DIDELPHIDAE;Didelphis;unknown;Didelphis unknown;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
24;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-07;03:55:38;05070024.JPG;MAMMALIA;DIDELPHIMORPHIA;DIDELPHIDAE;Didelphis;unknown;Didelphis unknown;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
25;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-07;17:31:52;05070025.JPG;AVES;PASSERIFORMES;FORMICARIIDAE;Grallaria;unknown;Grallaria unknown;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
26;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-07;17:31:59;05070026.JPG;AVES;PASSERIFORMES;FORMICARIIDAE;Grallaria;unknown;Grallaria unknown;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
27;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Unidentifiable;2019-05-08;02:55:52;05080027.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
28;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Unidentifiable;2019-05-08;05:04:17;05080028.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
29;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Unidentifiable;2019-05-10;15:26:34;05100029.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
30;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Blank;2019-05-11;22:56:47;05110030.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
31;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-17;09:53:48;05170031.JPG;AVES;PASSERIFORMES;FORMICARIIDAE;Grallaria;unknown;Grallaria unknown;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
32;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Unidentifiable;2019-05-17;17:09:35;05170032.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
33;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-19;17:06:03;05190033.JPG;MAMMALIA;PERISSODACTYLA;TAPIRIDAE;Tapirus;pinchaque;Tapirus pinchaque;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
34;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-19;17:06:05;05190034.JPG;MAMMALIA;PERISSODACTYLA;TAPIRIDAE;Tapirus;pinchaque;Tapirus pinchaque;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
35;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-19;17:06:06;05190035.JPG;MAMMALIA;PERISSODACTYLA;TAPIRIDAE;Tapirus;pinchaque;Tapirus pinchaque;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
36;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-19;17:06:41;05190036.JPG;MAMMALIA;PERISSODACTYLA;TAPIRIDAE;Tapirus;pinchaque;Tapirus pinchaque;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
37;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-19;17:06:43;05190037.JPG;MAMMALIA;PERISSODACTYLA;TAPIRIDAE;Tapirus;pinchaque;Tapirus pinchaque;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
38;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-19;17:06:44;05190038.JPG;MAMMALIA;PERISSODACTYLA;TAPIRIDAE;Tapirus;pinchaque;Tapirus pinchaque;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
39;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-19;17:06:45;05190039.JPG;MAMMALIA;PERISSODACTYLA;TAPIRIDAE;Tapirus;pinchaque;Tapirus pinchaque;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
40;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-19;17:06:47;05190040.JPG;MAMMALIA;PERISSODACTYLA;TAPIRIDAE;Tapirus;pinchaque;Tapirus pinchaque;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
41;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Unidentifiable;2019-05-20;17:14:16;05200041.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
42;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Blank;2019-05-21;09:09:20;05210042.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
43;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Blank;2019-05-22;06:24:57;05220043.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
44;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Blank;2019-05-23;09:55:21;05230044.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
45;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-23;13:57:00;05230045.JPG;MAMMALIA;CARNIVORA;FELIDAE;Puma;concolor;Puma concolor;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
46;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-23;13:57:21;05230046.JPG;MAMMALIA;CARNIVORA;FELIDAE;Puma;concolor;Puma concolor;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
47;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Blank;2019-05-23;16:54:13;05230047.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
48;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Blank;2019-05-26;10:46:05;05260048.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
49;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:04:38;05260049.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
50;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:04:39;05260050.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
51;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:04:44;05260051.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
52;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:04:45;05260052.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
53;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:04:46;05260053.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
54;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:04:48;05260054.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
55;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:04:49;05260055.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
56;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:04:51;05260056.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
57;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:04:51;05260057.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
58;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:05:04;05260058.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
59;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:05:05;05260059.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
60;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:05:05;05260060.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
61;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:05:14;05260061.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
62;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:05:25;05260062.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
63;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:05:43;05260063.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
64;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:06:09;05260064.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
65;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;11:06:14;05260065.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
66;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-26;15:55:51;05260066.JPG;AVES;PASSERIFORMES;FORMICARIIDAE;Grallaria;unknown;Grallaria unknown;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
67;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Animal;2019-05-26;15:56:02;05260067.JPG;AVES;PASSERIFORMES;FORMICARIIDAE;Grallaria;unknown;Grallaria unknown;1;Laura Jaimes;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
68;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;16:47:27;05260068.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
69;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;16:54:10;05260069.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
70;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;16:54:44;05260070.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
71;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;16:54:50;05260071.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
72;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;16:54:54;05260072.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
73;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;16:54:59;05260073.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
74;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;16:55:13;05260074.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
75;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;16:55:22;05260075.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
76;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;16:55:31;05260076.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
77;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;16:55:34;05260077.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
78;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;16:55:37;05260078.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
79;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;16:55:39;05260079.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
80;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;16:55:42;05260080.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
81;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-05-26;16:55:50;05260081.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
82;Mountain Tapir;CT-LC-2-02;-77.147101;0.953796;Marzo 2019;Setup/Pickup;2019-03-07;18:23:28;03070001.JPG;;;;;; ;;;B160533677;2019-03-07;2019-06-05;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
83;Mountain Tapir;CT-LC-2-02;-77.147101;0.953796;Marzo 2019;Setup/Pickup;2019-03-07;18:23:29;03070002.JPG;;;;;; ;;;B160533677;2019-03-07;2019-06-05;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
84;Mountain Tapir;CT-LC-2-02;-77.147101;0.953796;Marzo 2019;Setup/Pickup;2019-03-07;18:23:30;03070003.JPG;;;;;; ;;;B160533677;2019-03-07;2019-06-05;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
85;Mountain Tapir;CT-LC-2-02;-77.147101;0.953796;Marzo 2019;Setup/Pickup;2019-03-07;18:23:31;03070004.JPG;;;;;; ;;;B160533677;2019-03-07;2019-06-05;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
86;Mountain Tapir;CT-LC-2-02;-77.147101;0.953796;Marzo 2019;Setup/Pickup;2019-03-07;18:23:32;03070005.JPG;;;;;; ;;;B160533677;2019-03-07;2019-06-05;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
87;Mountain Tapir;CT-LC-2-02;-77.147101;0.953796;Marzo 2019;Setup/Pickup;2019-03-07;18:23:33;03070006.JPG;;;;;; ;;;B160533677;2019-03-07;2019-06-05;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
88;Mountain Tapir;CT-LC-2-02;-77.147101;0.953796;Marzo 2019;Setup/Pickup;2019-03-07;18:23:34;03070007.JPG;;;;;; ;;;B160533677;2019-03-07;2019-06-05;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
89;Mountain Tapir;CT-LC-2-02;-77.147101;0.953796;Marzo 2019;Setup/Pickup;2019-03-07;18:23:35;03070008.JPG;;;;;; ;;;B160533677;2019-03-07;2019-06-05;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
90;Mountain Tapir;CT-LC-2-02;-77.147101;0.953796;Marzo 2019;Setup/Pickup;2019-03-07;18:23:36;03070009.JPG;;;;;; ;;;B160533677;2019-03-07;2019-06-05;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
91;Mountain Tapir;CT-LC-2-02;-77.147101;0.953796;Marzo 2019;Setup/Pickup;2019-03-07;18:23:36;03070010.JPG;;;;;; ;;;B160533677;2019-03-07;2019-06-05;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
92;Mountain Tapir;CT-LC-2-02;-77.147101;0.953796;Marzo 2019;Setup/Pickup;2019-03-07;18:23:38;03070011.JPG;;;;;; ;;;B160533677;2019-03-07;2019-06-05;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
93;Mountain Tapir;CT-LC-2-02;-77.147101;0.953796;Marzo 2019;Setup/Pickup;2019-03-07;18:23:38;03070012.JPG;;;;;; ;;;B160533677;2019-03-07;2019-06-05;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
