ID,Name,description,lon,lat
1,Casa,NA,-75.5259130901579, 6.52920233310873
2,Casa,NA,-75.6392510560571, 6.7084342827514
3,Casa,NA,-75.6148771383476, 6.70309385186225
4,Casa,NA,-75.6193535708763, 6.70533756625409
5,Casa,NA,-75.6315638501372, 6.68112987577005
6,Casa,NA,-75.6252076075251, 6.67104786939804
7,Casa,NA,-75.6343159053018, 6.68512772058724
8,Casa,NA,-75.5952280032855, 6.81572919409916
9,Casa,NA,-75.5939334302693, 6.81656528438831
10,Casa,NA,-75.5928997341526, 6.81615184050574
11,Casa,NA,-75.5818812180671, 6.81133282361994
12,Casa,NA,-75.5616391768004, 6.80227571069733
13,Casa,NA,-75.5611353011697, 6.80159729160057
14,Casa,NA,-75.5298473751851, 6.76982232348157
15,Casa,NA,-75.5284387659936, 6.77107549608583
16,Casa,NA,-75.5275339960795, 6.77425100551416
17,Casa,NA,-75.5312515284832, 6.77048856233081
18,Casa,NA,-75.699835679608, 6.63938482296784
19,Casa,NA,-75.6853823494756, 6.63094983072594
20,Casa,NA,-75.5465331658568, 6.64240680032974
21,Casa,NA,-75.5475413586031, 6.64048461961767
22,Casa,NA,-75.5664093860694, 6.66137741516308
23,Casa,NA,-75.5631396115025, 6.66146459118354
24,Casa,NA,-75.5616968848927, 6.66333129338227
25,Casa,NA,-75.5675254516527, 6.68424595847278
26,Casa,NA,-75.5604038612971, 6.69116234786122
27,Casa,NA,-75.6040574521052, 6.57162397209562
28,Casa,NA,-75.6028805224372, 6.55884692451887
29,Casa,NA,-75.5979649373622, 6.56142063084403
30,Casa,NA,-75.6456663757533, 6.53681725353213
31,Casa,NA,-75.6524593729594, 6.53858543000767
32,Casa,NA,-75.6523595997148, 6.53925319782298
33,Casa,NA,-75.6427199992567, 6.53363797583686
34,Casa,NA,-75.6301195204913, 6.51824128998589
35,Casa,NA,-75.6296794308613, 6.51318155453132
36,Casa,NA,-75.6280890993824, 6.51533004781267
37,Casa,NA,-75.6283335618849, 6.51341589222163
38,Casa,NA,-75.5553591548798, 6.40425431212091
39,Casa,NA,-75.55829467578, 6.40449806473452
40,Casa,NA,-75.5587917058456, 6.39841612311098
41,Casa,NA,-75.5523117308868, 6.40069471456265
42,Casa,NA,-75.5434628336852, 6.41537079734073
43,Casa,NA,-75.5407238711872, 6.41354237206054
44,Casa,NA,-75.54119631824, 6.4112776050801
45,Casa,NA,-75.543816912303, 6.41026787280908
46,Casa,NA,-75.5461004833898, 6.43051662682724
47,Casa,NA,-75.5458367858052, 6.43104392080617
48,Casa,NA,-75.5419861168766, 6.42801650796759
49,Casa,NA,-75.5424303149684, 6.42780653526378
50,Casa,NA,-75.540364626436, 6.46046403450547
51,Casa,NA,-75.5404393967811, 6.45879705510743
52,Casa,NA,-75.5399745728046, 6.45907682495456
53,Casa,NA,-75.5513804903701, 6.48621002521718
54,Casa,NA,-75.5509167386876, 6.48516834822539
55,Casa,NA,-75.5516702513069, 6.48493094278205
56,Casa,NA,-75.5501619998051, 6.48500271963634
57,Casa,NA,-75.5546565184688, 6.48633335993464
58,Casa,NA,-75.555325402863, 6.48620528478205
59,Casa,NA,-75.5214985991645, 6.49009796035637
60,Casa,NA,-75.5243963958892, 6.4926026074076
61,Casa,NA,-75.5235223323233, 6.52779496653294
62,Casa,NA,-75.523613765695, 6.52729221079286
63,Casa,NA,-75.5257580515722, 6.5417208828672
64,Casa,NA,-75.5083676911489, 6.52569968550737
65,Casa,NA,-75.5036381195751, 6.52779942999556
66,Casa,NA,-75.4554454983865, 6.46089846241569
67,Casa,NA,-75.457281727488, 6.46268301371793
68,Casa,NA,-75.4581737060651, 6.46217664058869
69,Casa,NA,-75.4539371598241, 6.45489768350504
70,Casa,NA,-75.4554712238168, 6.45028673160024
71,Casa,NA,-75.434444879592, 6.46377225719392
72,Casa,NA,-75.4326231055497, 6.46714322293257
73,Casa,NA,-75.4313165353285, 6.46177540214538
74,Casa,NA,-75.4324986641589, 6.46798215917628
75,Casa,NA,-75.4310352989541, 6.46898029562791
76,Casa,NA,-75.3929947331709, 6.45870988160314
77,Casa,NA,-75.3941732219315, 6.45807827216135
78,Casa,NA,-75.3958119108082, 6.45863779969949
79,Casa,NA,-75.3959652510901, 6.45052151618711
80,Casa,NA,-76.3217374680777, 1.78945429912334
81,Casa,NA,-76.3192442505222, 1.79097137206336
82,Casa,NA,-76.3176662585808, 1.79118165034211
83,Casa,NA,-76.3242192824411, 1.78821828239224
84,Casa,NA,-76.3230169183846, 1.78575725966201
85,Casa,NA,-76.3263457153262, 1.77224693275911
86,Casa,NA,-76.3280207063311, 1.77094488419942
87,Casa,NA,-76.3341697635753, 1.77476034851704
88,Casa,NA,-76.332430362198, 1.77618405789244
89,Casa,NA,-76.3296776717834, 1.77664454482207
90,Casa,NA,-76.3379714459733, 1.7701271825381
91,Casa,NA,-76.3294421731705, 1.8155911053229
92,Casa,NA,-76.3298386376129, 1.81675511872627
93,Casa,NA,-76.3376241253645, 1.82053446233097
94,Casa,NA,-76.3267371941309, 1.81913319891686
95,Casa,NA,-76.3269696040872, 1.82699398838502
96,Casa,NA,-76.327753194965, 1.82674632017181
97,Casa,NA,-76.3295187806862, 1.83899085294873
98,Casa,NA,-76.3405225092366, 1.84525691365358
99,Casa,NA,-76.3379355236514, 1.84684627447577
100,Casa,NA,-77.1547953075955, 0.986357013376662
101,Casa,NA,-77.1549258976072, 0.98673415047088
102,Casa,NA,-77.1560936918649, 0.987405440936569
103,Casa,NA,-77.1490625449693, 0.984294417832286
