,Project ID,Deployment ID,Image ID,Location,Photo Type,Photo Type Identified by,Genus Species,Uncertainty,IUCN Identification Number,Date_Time Captured,Date,Time,Age,Sex,Individual ID,Count,Animal recognizable (Y/N),Individual Animal Notes,Event Name,Array Name (Optional),Depolyment Location ID,Longitude Resolution,Latitude Resolution,camera_trap_art_date,Camera Deployment Begin Date,camera_trap_end_date,Camera Deployment End Date,Bait Type,Bait Description,Feature Type,Feature Type Methodology,Camera ID,Quiet Period Setting,Restriction on Access,Camera Failure Details,Camera Hardware Failure,
14,LC,LC_Mayo_2018_CT-LC-01-01,LC_Mayo_2018_CT-LC-01-01_05230014.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-23 11:54:20,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-01,-77.13228195905685,1.07225596904754,2018-05-23,2018-05-23,2018-06-29,2018-06-29,No Bait,NA,Trail, game,NA,B160534465,NA,NA,NA,NA
15,LC,LC_Mayo_2018_CT-LC-01-01,LC_Mayo_2018_CT-LC-01-01_05230015.JPG,NA,Animal,Laura Jaimes,Columbina unknown,Not sure,NA,2018-05-23 15:21:21,,,NA,NA,NA,1,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-01,-77.13228195905685,1.07225596904754,2018-05-23,2018-05-23,2018-06-29,2018-06-29,No Bait,NA,Trail, game,NA,B160534465,NA,NA,NA,NA
16,LC,LC_Mayo_2018_CT-LC-01-01,LC_Mayo_2018_CT-LC-01-01_06110016.JPG,NA,Animal,Laura Jaimes,Didelphis unknown,Pretty sure,NA,2018-06-11 20:17:17,,,NA,NA,NA,1,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-01,-77.13228195905685,1.07225596904754,2018-05-23,2018-05-23,2018-06-29,2018-06-29,No Bait,NA,Trail, game,NA,B160534465,NA,NA,NA,NA
17,LC,LC_Mayo_2018_CT-LC-01-01,LC_Mayo_2018_CT-LC-01-01_06110017.JPG,NA,Animal,Laura Jaimes,Didelphis unknown,Pretty sure,NA,2018-06-11 20:24:59,,,NA,NA,NA,1,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-01,-77.13228195905685,1.07225596904754,2018-05-23,2018-05-23,2018-06-29,2018-06-29,No Bait,NA,Trail, game,NA,B160534465,NA,NA,NA,NA
18,LC,LC_Mayo_2018_CT-LC-01-01,LC_Mayo_2018_CT-LC-01-01_06110018.JPG,NA,Animal,Laura Jaimes,Didelphis unknown,Pretty sure,NA,2018-06-11 20:25:01,,,NA,NA,NA,1,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-01,-77.13228195905685,1.07225596904754,2018-05-23,2018-05-23,2018-06-29,2018-06-29,No Bait,NA,Trail, game,NA,B160534465,NA,NA,NA,NA
19,LC,LC_Mayo_2018_CT-LC-01-01,LC_Mayo_2018_CT-LC-01-01_06290019.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-06-29 13:20:43,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-01,-77.13228195905685,1.07225596904754,2018-05-23,2018-05-23,2018-06-29,2018-06-29,No Bait,NA,Trail, game,NA,B160534465,NA,NA,NA,NA
20,LC,LC_Mayo_2018_CT-LC-01-01,LC_Mayo_2018_CT-LC-01-01_06290020.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-06-29 13:21:15,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-01,-77.13228195905685,1.07225596904754,2018-05-23,2018-05-23,2018-06-29,2018-06-29,No Bait,NA,Trail, game,NA,B160534465,NA,NA,NA,NA
21,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220001.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:56:20,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
22,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220002.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:56:21,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
23,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220003.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:56:23,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
